text,label,sentiment,text_length,text_cleaned
太坑了，手机的物流和描述完全不一样。！建议大家参考。,0,负面,26,太坑了，手机的物流和描述完全不一样。！建议大家参考。
这个台灯的尺寸很差，和图片上的完全不一样。！建议大家参考。,0,负面,29,这个台灯的尺寸很差，和图片上的完全不一样。！建议大家参考。
被图片骗了，实际衣服的做工很差，不值这个价。,0,负面,22,被图片骗了，实际衣服的做工很差，不值这个价。
好评！手表的功能很好，客服态度也好。！,1,正面,19,好评！手表的功能很好，客服态度也好。！
水杯价格很差，根本不值这个价。,0,负面,15,水杯价格很差，根本不值这个价。
这个水杯的做工真的不行，不如实体店买。,0,负面,19,这个水杯的做工真的不行，不如实体店买。
台灯的客服真的是太差了，一次糟糕的购物体验。,0,负面,22,台灯的客服真的是太差了，一次糟糕的购物体验。
买回来就发现书包的做工有问题，很失望。,0,负面,19,买回来就发现书包的做工有问题，很失望。
充电宝的做工太差了，非常后悔。,0,负面,15,充电宝的做工太差了，非常后悔。
太坑了，鞋子的颜色和描述完全不一样。,0,负面,18,太坑了，鞋子的颜色和描述完全不一样。
这个水杯的价格超出了我的预期，很惊喜。,1,正面,19,这个水杯的价格超出了我的预期，很惊喜。
收到手机了，颜色很差，申请退货中。,0,负面,17,收到手机了，颜色很差，申请退货中。
客服态度差，水杯的做工也有问题，体验很差。，推荐！,0,负面,25,客服态度差，水杯的做工也有问题，体验很差。，推荐！
收到电脑了，价格很差，申请退货中。,0,负面,17,收到电脑了，价格很差，申请退货中。
好评！水杯的价格很好，客服态度也好。,1,正面,18,好评！水杯的价格很好，客服态度也好。
被图片骗了，实际充电宝的材质很差，不值这个价。，推荐！,0,负面,27,被图片骗了，实际充电宝的材质很差，不值这个价。，推荐！
用了没几天水杯的价格就出问题了，差评。,0,负面,19,用了没几天水杯的价格就出问题了，差评。
台灯的功能很好，物流也快，五星好评。,1,正面,18,台灯的功能很好，物流也快，五星好评。
对比了好几家才选的这家，电脑的做工确实好。,1,正面,21,对比了好几家才选的这家，电脑的做工确实好。
性价比很高的台灯，质量没让我失望。,1,正面,17,性价比很高的台灯，质量没让我失望。
买回来就发现手表的质量有问题，很失望。,0,负面,19,买回来就发现手表的质量有问题，很失望。
给家人买的衣服，他们说颜色很好。,1,正面,16,给家人买的衣服，他们说颜色很好。
给家人买的充电宝，他们说材质很好。,1,正面,17,给家人买的充电宝，他们说材质很好。
水杯质量很差，根本不值这个价。,0,负面,15,水杯质量很差，根本不值这个价。
这个书包的包装很差，和图片上的完全不一样。，推荐！,0,负面,25,这个书包的包装很差，和图片上的完全不一样。，推荐！
再也不在这家买了，手机的价格太让人失望了。,0,负面,21,再也不在这家买了，手机的价格太让人失望了。
充电宝的价格很好，物流也快，五星好评。，不推荐！,1,正面,24,充电宝的价格很好，物流也快，五星好评。，不推荐！
这个台灯的材质真的不行，不如实体店买。,0,负面,19,这个台灯的材质真的不行，不如实体店买。
书包的功能太差了，非常后悔。。,0,负面,15,书包的功能太差了，非常后悔。。
充电宝的物流很好，物流也快，五星好评。,1,正面,19,充电宝的物流很好，物流也快，五星好评。
用了没几天台灯的功能就出问题了，差评。,0,负面,19,用了没几天台灯的功能就出问题了，差评。
买回来就发现手表的颜色有问题，很失望。,0,负面,19,买回来就发现手表的颜色有问题，很失望。
这个价钱买到这么好的耳机，包装还这么好，太值了。,1,正面,24,这个价钱买到这么好的耳机，包装还这么好，太值了。
充电宝外观很棒，价格也合理，好评。。,1,正面,18,充电宝外观很棒，价格也合理，好评。。
用了没几天手机的包装就出问题了，差评。,0,负面,19,用了没几天手机的包装就出问题了，差评。
水杯的物流超出预期，值得购买。,1,正面,15,水杯的物流超出预期，值得购买。
这个衣服的外观不错，推荐给大家。,1,正面,16,这个衣服的外观不错，推荐给大家。
衣服的物流超出预期，值得购买。,1,正面,15,衣服的物流超出预期，值得购买。
这个台灯的质量真的不行，不如实体店买。,0,负面,19,这个台灯的质量真的不行，不如实体店买。
性价比很高的书包，客服没让我失望。,1,正面,17,性价比很高的书包，客服没让我失望。
好评！书包的价格很好，客服态度也好。,1,正面,18,好评！书包的价格很好，客服态度也好。
衣服的物流很好，做工精细，很喜欢。,1,正面,17,衣服的物流很好，做工精细，很喜欢。
买回来用了几天，充电宝的功能确实好。,1,正面,18,买回来用了几天，充电宝的功能确实好。
这个鞋子的做工超出了我的预期，很惊喜。,1,正面,19,这个鞋子的做工超出了我的预期，很惊喜。
这个手机的尺寸真的不行，不如实体店买。,0,负面,19,这个手机的尺寸真的不行，不如实体店买。
台灯包装很好，很满意！,1,正面,11,台灯包装很好，很满意！
物流慢也就算了，书包的材质还这么差，差评。,0,负面,21,物流慢也就算了，书包的材质还这么差，差评。
这个衣服的颜色真的不行，不如实体店买。,0,负面,19,这个衣服的颜色真的不行，不如实体店买。
手机功能很差，根本不值这个价。,0,负面,15,手机功能很差，根本不值这个价。
鞋子物流很好，很满意！,1,正面,11,鞋子物流很好，很满意！
这个充电宝的材质很差，和图片上的完全不一样。,0,负面,22,这个充电宝的材质很差，和图片上的完全不一样。
退货了，充电宝的颜色完全不能用，浪费时间。，不推荐！,0,负面,26,退货了，充电宝的颜色完全不能用，浪费时间。，不推荐！
用了没几天书包的物流就出问题了，差评。,0,负面,19,用了没几天书包的物流就出问题了，差评。
退货了，电脑的客服完全不能用，浪费时间。,0,负面,20,退货了，电脑的客服完全不能用，浪费时间。
这个鞋子的包装真的不行，不如实体店买。,0,负面,19,这个鞋子的包装真的不行，不如实体店买。
手机的做工超出预期，值得购买。,1,正面,15,手机的做工超出预期，值得购买。
这个价钱买到这么好的手机，功能还这么好，太值了。，推荐！,1,正面,28,这个价钱买到这么好的手机，功能还这么好，太值了。，推荐！
水杯的物流真的是太差了，一次糟糕的购物体验。,0,负面,22,水杯的物流真的是太差了，一次糟糕的购物体验。
再也不在这家买了，手表的客服太让人失望了。,0,负面,21,再也不在这家买了，手表的客服太让人失望了。
客服态度差，手表的做工也有问题，体验很差。，不推荐！,0,负面,26,客服态度差，手表的做工也有问题，体验很差。，不推荐！
第二次回购了，鞋子的功能一如既往的好。,1,正面,19,第二次回购了，鞋子的功能一如既往的好。
这个手机的颜色超出了我的预期，很惊喜。,1,正面,19,这个手机的颜色超出了我的预期，很惊喜。
收到台灯了，材质比想象中好，颜色也好看。,1,正面,20,收到台灯了，材质比想象中好，颜色也好看。
这个水杯的颜色不行，建议大家别买。,0,负面,17,这个水杯的颜色不行，建议大家别买。
台灯做工很好，很满意！,1,正面,11,台灯做工很好，很满意！
第二次回购了，水杯的材质一如既往的好。,1,正面,19,第二次回购了，水杯的材质一如既往的好。
充电宝的做工真的是太差了，一次糟糕的购物体验。，不推荐！,0,负面,28,充电宝的做工真的是太差了，一次糟糕的购物体验。，不推荐！
太坑了，水杯的包装和描述完全不一样。,0,负面,18,太坑了，水杯的包装和描述完全不一样。
鞋子的包装超出预期，值得购买。,1,正面,15,鞋子的包装超出预期，值得购买。
第二次回购了，耳机的质量一如既往的好。,1,正面,19,第二次回购了，耳机的质量一如既往的好。
电脑的做工很好，做工精细，很喜欢。,1,正面,17,电脑的做工很好，做工精细，很喜欢。
给家人买的电脑，他们说质量很好。！,1,正面,17,给家人买的电脑，他们说质量很好。！
退货了，台灯的做工完全不能用，浪费时间。,0,负面,20,退货了，台灯的做工完全不能用，浪费时间。
太坑了，电脑的材质和描述完全不一样。,0,负面,18,太坑了，电脑的材质和描述完全不一样。
手表做工很棒，价格也合理，好评。,1,正面,16,手表做工很棒，价格也合理，好评。
被图片骗了，实际水杯的客服很差，不值这个价。！建议大家参考。,0,负面,30,被图片骗了，实际水杯的客服很差，不值这个价。！建议大家参考。
买回来就发现衣服的材质有问题，很失望。,0,负面,19,买回来就发现衣服的材质有问题，很失望。
这个台灯的外观不错，推荐给大家。！建议大家参考。,1,正面,24,这个台灯的外观不错，推荐给大家。！建议大家参考。
充电宝材质很差，根本不值这个价。,0,负面,16,充电宝材质很差，根本不值这个价。
性价比很高的手表，做工没让我失望。！建议大家参考。,1,正面,25,性价比很高的手表，做工没让我失望。！建议大家参考。
对比了好几家才选的这家，手机的外观确实好。,1,正面,21,对比了好几家才选的这家，手机的外观确实好。
收到电脑了，包装比想象中好，颜色也好看。,1,正面,20,收到电脑了，包装比想象中好，颜色也好看。
这个价钱买到这么好的水杯，物流还这么好，太值了。,1,正面,24,这个价钱买到这么好的水杯，物流还这么好，太值了。
物流慢也就算了，电脑的物流还这么差，差评。,0,负面,21,物流慢也就算了，电脑的物流还这么差，差评。
客服态度差，电脑的颜色也有问题，体验很差。,0,负面,21,客服态度差，电脑的颜色也有问题，体验很差。
性价比很高的充电宝，外观没让我失望。,1,正面,18,性价比很高的充电宝，外观没让我失望。
第二次回购了，书包的包装一如既往的好。。,1,正面,20,第二次回购了，书包的包装一如既往的好。。
这个鞋子的客服很差，和图片上的完全不一样。，推荐！,0,负面,25,这个鞋子的客服很差，和图片上的完全不一样。，推荐！
这个书包的颜色超出了我的预期，很惊喜。,1,正面,19,这个书包的颜色超出了我的预期，很惊喜。
衣服功能很好，很满意！，不推荐！,1,正面,16,衣服功能很好，很满意！，不推荐！
这个衣服的价格真的不行，不如实体店买。,0,负面,19,这个衣服的价格真的不行，不如实体店买。
这个水杯的客服不行，建议大家别买。,0,负面,17,这个水杯的客服不行，建议大家别买。
再也不在这家买了，手机的做工太让人失望了。,0,负面,21,再也不在这家买了，手机的做工太让人失望了。
台灯的功能超出预期，值得购买。,1,正面,15,台灯的功能超出预期，值得购买。
用了没几天手机的物流就出问题了，差评。,0,负面,19,用了没几天手机的物流就出问题了，差评。
充电宝物流很好，很满意！,1,正面,12,充电宝物流很好，很满意！
这个台灯的价格不行，建议大家别买。,0,负面,17,这个台灯的价格不行，建议大家别买。
书包做工很棒，价格也合理，好评。,1,正面,16,书包做工很棒，价格也合理，好评。
好评！手表的包装很好，客服态度也好。,1,正面,18,好评！手表的包装很好，客服态度也好。
买回来用了几天，手机的外观确实好。,1,正面,17,买回来用了几天，手机的外观确实好。
这个书包的价格不错，推荐给大家。,1,正面,16,这个书包的价格不错，推荐给大家。
收到鞋子了，包装很差，申请退货中。。,0,负面,18,收到鞋子了，包装很差，申请退货中。。
台灯颜色很好，很满意！,1,正面,11,台灯颜色很好，很满意！
买回来用了几天，电脑的包装确实好。,1,正面,17,买回来用了几天，电脑的包装确实好。
再也不在这家买了，衣服的客服太让人失望了。,0,负面,21,再也不在这家买了，衣服的客服太让人失望了。
买回来用了几天，手机的颜色确实好。,1,正面,17,买回来用了几天，手机的颜色确实好。
耳机的包装超出预期，值得购买。,1,正面,15,耳机的包装超出预期，值得购买。
这个耳机的功能真的不行，不如实体店买。,0,负面,19,这个耳机的功能真的不行，不如实体店买。
买回来就发现耳机的功能有问题，很失望。！,0,负面,20,买回来就发现耳机的功能有问题，很失望。！
用了没几天衣服的质量就出问题了，差评。,0,负面,19,用了没几天衣服的质量就出问题了，差评。
水杯功能很好，很满意！。,1,正面,12,水杯功能很好，很满意！。
好评！鞋子的做工很好，客服态度也好。,1,正面,18,好评！鞋子的做工很好，客服态度也好。
这个价钱买到这么好的书包，做工还这么好，太值了。,1,正面,24,这个价钱买到这么好的书包，做工还这么好，太值了。
退货了，书包的质量完全不能用，浪费时间。,0,负面,20,退货了，书包的质量完全不能用，浪费时间。
水杯包装很棒，价格也合理，好评。,1,正面,16,水杯包装很棒，价格也合理，好评。
充电宝做工很棒，价格也合理，好评。,1,正面,17,充电宝做工很棒，价格也合理，好评。
收到手机了，价格很差，申请退货中。,0,负面,17,收到手机了，价格很差，申请退货中。
电脑的物流太差了，非常后悔。,0,负面,14,电脑的物流太差了，非常后悔。
这个电脑的价格不行，建议大家别买。,0,负面,17,这个电脑的价格不行，建议大家别买。
手表的客服很好，物流也快，五星好评。,1,正面,18,手表的客服很好，物流也快，五星好评。
衣服的功能真的是太差了，一次糟糕的购物体验。,0,负面,22,衣服的功能真的是太差了，一次糟糕的购物体验。
手机的功能超出预期，值得购买。,1,正面,15,手机的功能超出预期，值得购买。
收到手机了，包装比想象中好，颜色也好看。,1,正面,20,收到手机了，包装比想象中好，颜色也好看。
鞋子包装很差，根本不值这个价。,0,负面,15,鞋子包装很差，根本不值这个价。
被图片骗了，实际鞋子的客服很差，不值这个价。,0,负面,22,被图片骗了，实际鞋子的客服很差，不值这个价。
这个书包的尺寸很差，和图片上的完全不一样。,0,负面,21,这个书包的尺寸很差，和图片上的完全不一样。
物流慢也就算了，鞋子的质量还这么差，差评。,0,负面,21,物流慢也就算了，鞋子的质量还这么差，差评。
充电宝颜色很差，根本不值这个价。，不推荐！,0,负面,21,充电宝颜色很差，根本不值这个价。，不推荐！
这个耳机的尺寸很差，和图片上的完全不一样。,0,负面,21,这个耳机的尺寸很差，和图片上的完全不一样。
对比了好几家才选的这家，水杯的价格确实好。,1,正面,21,对比了好几家才选的这家，水杯的价格确实好。
耳机的功能很好，做工精细，很喜欢。,1,正面,17,耳机的功能很好，做工精细，很喜欢。
衣服的材质太差了，非常后悔。,0,负面,14,衣服的材质太差了，非常后悔。
电脑的做工真的是太差了，一次糟糕的购物体验。,0,负面,22,电脑的做工真的是太差了，一次糟糕的购物体验。
手表包装很差，根本不值这个价。！,0,负面,16,手表包装很差，根本不值这个价。！
这个充电宝的物流不行，建议大家别买。,0,负面,18,这个充电宝的物流不行，建议大家别买。
性价比很高的充电宝，功能没让我失望。,1,正面,18,性价比很高的充电宝，功能没让我失望。
退货了，电脑的价格完全不能用，浪费时间。,0,负面,20,退货了，电脑的价格完全不能用，浪费时间。
被图片骗了，实际台灯的物流很差，不值这个价。,0,负面,22,被图片骗了，实际台灯的物流很差，不值这个价。
衣服的功能超出预期，值得购买。,1,正面,15,衣服的功能超出预期，值得购买。
用了没几天电脑的尺寸就出问题了，差评。,0,负面,19,用了没几天电脑的尺寸就出问题了，差评。
耳机的尺寸太差了，非常后悔。,0,负面,14,耳机的尺寸太差了，非常后悔。
这个手机的质量不行，建议大家别买。,0,负面,17,这个手机的质量不行，建议大家别买。
充电宝价格很差，根本不值这个价。,0,负面,16,充电宝价格很差，根本不值这个价。
这个充电宝的颜色不行，建议大家别买。,0,负面,18,这个充电宝的颜色不行，建议大家别买。
客服态度差，衣服的物流也有问题，体验很差。,0,负面,21,客服态度差，衣服的物流也有问题，体验很差。
这个水杯的材质超出了我的预期，很惊喜。,1,正面,19,这个水杯的材质超出了我的预期，很惊喜。
退货了，电脑的功能完全不能用，浪费时间。,0,负面,20,退货了，电脑的功能完全不能用，浪费时间。
性价比很高的书包，物流没让我失望。,1,正面,17,性价比很高的书包，物流没让我失望。
这个书包的质量真的不行，不如实体店买。,0,负面,19,这个书包的质量真的不行，不如实体店买。
物流慢也就算了，台灯的材质还这么差，差评。,0,负面,21,物流慢也就算了，台灯的材质还这么差，差评。
对比了好几家才选的这家，台灯的做工确实好。,1,正面,21,对比了好几家才选的这家，台灯的做工确实好。
第二次回购了，充电宝的物流一如既往的好。，推荐！,1,正面,24,第二次回购了，充电宝的物流一如既往的好。，推荐！
这个书包的客服不错，推荐给大家。,1,正面,16,这个书包的客服不错，推荐给大家。
买回来就发现鞋子的包装有问题，很失望。,0,负面,19,买回来就发现鞋子的包装有问题，很失望。
买回来用了几天，电脑的材质确实好。,1,正面,17,买回来用了几天，电脑的材质确实好。
收到充电宝了，物流比想象中好，颜色也好看。,1,正面,21,收到充电宝了，物流比想象中好，颜色也好看。
用了没几天手表的材质就出问题了，差评。,0,负面,19,用了没几天手表的材质就出问题了，差评。
买回来用了几天，鞋子的材质确实好。,1,正面,17,买回来用了几天，鞋子的材质确实好。
这个衣服的功能很差，和图片上的完全不一样。,0,负面,21,这个衣服的功能很差，和图片上的完全不一样。
书包的物流太差了，非常后悔。，不推荐！,0,负面,19,书包的物流太差了，非常后悔。，不推荐！
书包的质量超出预期，值得购买。！建议大家参考。,1,正面,23,书包的质量超出预期，值得购买。！建议大家参考。
好评！书包的物流很好，客服态度也好。,1,正面,18,好评！书包的物流很好，客服态度也好。
这个衣服的价格超出了我的预期，很惊喜。,1,正面,19,这个衣服的价格超出了我的预期，很惊喜。
这个充电宝的功能真的不行，不如实体店买。,0,负面,20,这个充电宝的功能真的不行，不如实体店买。
退货了，衣服的包装完全不能用，浪费时间。,0,负面,20,退货了，衣服的包装完全不能用，浪费时间。
这个衣服的做工不错，推荐给大家。,1,正面,16,这个衣服的做工不错，推荐给大家。
给家人买的耳机，他们说材质很好。,1,正面,16,给家人买的耳机，他们说材质很好。
物流慢也就算了，手表的颜色还这么差，差评。！建议大家参考。,0,负面,29,物流慢也就算了，手表的颜色还这么差，差评。！建议大家参考。
退货了，水杯的功能完全不能用，浪费时间。,0,负面,20,退货了，水杯的功能完全不能用，浪费时间。
性价比很高的台灯，质量没让我失望。！,1,正面,18,性价比很高的台灯，质量没让我失望。！
对比了好几家才选的这家，水杯的客服确实好。,1,正面,21,对比了好几家才选的这家，水杯的客服确实好。
电脑的外观超出预期，值得购买。,1,正面,15,电脑的外观超出预期，值得购买。
物流慢也就算了，电脑的价格还这么差，差评。,0,负面,21,物流慢也就算了，电脑的价格还这么差，差评。
再也不在这家买了，充电宝的物流太让人失望了。,0,负面,22,再也不在这家买了，充电宝的物流太让人失望了。
充电宝质量很好，很满意！,1,正面,12,充电宝质量很好，很满意！
性价比很高的衣服，质量没让我失望。,1,正面,17,性价比很高的衣服，质量没让我失望。
客服态度差，充电宝的颜色也有问题，体验很差。,0,负面,22,客服态度差，充电宝的颜色也有问题，体验很差。
买回来用了几天，手表的价格确实好。,1,正面,17,买回来用了几天，手表的价格确实好。
好评！充电宝的外观很好，客服态度也好。,1,正面,19,好评！充电宝的外观很好，客服态度也好。
性价比很高的衣服，客服没让我失望。,1,正面,17,性价比很高的衣服，客服没让我失望。
好评！鞋子的质量很好，客服态度也好。,1,正面,18,好评！鞋子的质量很好，客服态度也好。
这个手机的做工真的不行，不如实体店买。,0,负面,19,这个手机的做工真的不行，不如实体店买。
衣服价格很棒，价格也合理，好评。,1,正面,16,衣服价格很棒，价格也合理，好评。
物流慢也就算了，手机的包装还这么差，差评。,0,负面,21,物流慢也就算了，手机的包装还这么差，差评。
收到电脑了，物流比想象中好，颜色也好看。,1,正面,20,收到电脑了，物流比想象中好，颜色也好看。
台灯功能很好，很满意！,1,正面,11,台灯功能很好，很满意！
太坑了，台灯的物流和描述完全不一样。,0,负面,18,太坑了，台灯的物流和描述完全不一样。
水杯的质量很好，做工精细，很喜欢。,1,正面,17,水杯的质量很好，做工精细，很喜欢。
太坑了，鞋子的包装和描述完全不一样。，推荐！,0,负面,22,太坑了，鞋子的包装和描述完全不一样。，推荐！
鞋子客服很棒，价格也合理，好评。,1,正面,16,鞋子客服很棒，价格也合理，好评。
充电宝的颜色很好，做工精细，很喜欢。,1,正面,18,充电宝的颜色很好，做工精细，很喜欢。
手机外观很棒，价格也合理，好评。,1,正面,16,手机外观很棒，价格也合理，好评。
用了没几天书包的客服就出问题了，差评。,0,负面,19,用了没几天书包的客服就出问题了，差评。
这个鞋子的客服不行，建议大家别买。,0,负面,17,这个鞋子的客服不行，建议大家别买。
收到充电宝了，做工很差，申请退货中。，不推荐！,0,负面,23,收到充电宝了，做工很差，申请退货中。，不推荐！
被图片骗了，实际充电宝的功能很差，不值这个价。，不推荐！,0,负面,28,被图片骗了，实际充电宝的功能很差，不值这个价。，不推荐！
收到水杯了，质量比想象中好，颜色也好看。,1,正面,20,收到水杯了，质量比想象中好，颜色也好看。
买回来用了几天，衣服的物流确实好。,1,正面,17,买回来用了几天，衣服的物流确实好。
收到水杯了，功能比想象中好，颜色也好看。,1,正面,20,收到水杯了，功能比想象中好，颜色也好看。
买回来就发现衣服的做工有问题，很失望。,0,负面,19,买回来就发现衣服的做工有问题，很失望。
收到水杯了，价格很差，申请退货中。,0,负面,17,收到水杯了，价格很差，申请退货中。
手表的物流超出预期，值得购买。,1,正面,15,手表的物流超出预期，值得购买。
再也不在这家买了，耳机的尺寸太让人失望了。,0,负面,21,再也不在这家买了，耳机的尺寸太让人失望了。
这个水杯的尺寸不行，建议大家别买。,0,负面,17,这个水杯的尺寸不行，建议大家别买。
被图片骗了，实际充电宝的客服很差，不值这个价。,0,负面,23,被图片骗了，实际充电宝的客服很差，不值这个价。
收到衣服了，做工很差，申请退货中。,0,负面,17,收到衣服了，做工很差，申请退货中。
手机的质量很好，物流也快，五星好评。！建议大家参考。,1,正面,26,手机的质量很好，物流也快，五星好评。！建议大家参考。
好评！耳机的颜色很好，客服态度也好。,1,正面,18,好评！耳机的颜色很好，客服态度也好。
这个电脑的颜色不行，建议大家别买。,0,负面,17,这个电脑的颜色不行，建议大家别买。
再也不在这家买了，手表的功能太让人失望了。,0,负面,21,再也不在这家买了，手表的功能太让人失望了。
性价比很高的台灯，物流没让我失望。,1,正面,17,性价比很高的台灯，物流没让我失望。
衣服的价格超出预期，值得购买。,1,正面,15,衣服的价格超出预期，值得购买。
用了没几天手机的客服就出问题了，差评。！建议大家参考。,0,负面,27,用了没几天手机的客服就出问题了，差评。！建议大家参考。
好评！台灯的质量很好，客服态度也好。,1,正面,18,好评！台灯的质量很好，客服态度也好。
这个电脑的外观不错，推荐给大家。,1,正面,16,这个电脑的外观不错，推荐给大家。
再也不在这家买了，手表的做工太让人失望了。,0,负面,21,再也不在这家买了，手表的做工太让人失望了。
手表的物流真的是太差了，一次糟糕的购物体验。,0,负面,22,手表的物流真的是太差了，一次糟糕的购物体验。
性价比很高的衣服，做工没让我失望。，推荐！,1,正面,21,性价比很高的衣服，做工没让我失望。，推荐！
